Student I.D.,Age,Gender,ISiF,Viva_Score,Written_Score,Nqi,Ndiq,LsDp,Education_Level,N_de,P_in,S_Fit,Interview_center,N_at,S_10,S_12,Selection
1219,45,Male,2,19.20139276,236.9300728,1,0,114.9866207,Doctorate,2,Very Good,6,North,3,31.81419005,52.64,Rejected
1220,44,Male,1,18.67442409,244.6873547,3,1,127.5935353,Double graduate,3,Very Good,10,North,3,50.64028219,59.95,Rejected
1221,45,Male,1,21.95103756,259.2124017,1,2,104.6999879,Double graduate,2,Very Good,7,East,4,38.18000701,48.4,Rejected
1222,46,Male,3,10.0019654,246.0516178,3,1,110.540352,Graduate,1,Very Good,13,East,2,38.29245881,27.92,Rejected
1223,39,Female,1,20.30472671,246.8217991,3,1,109.4469323,Masters,2,Average,12,South,2,40.480659,27.09,Rejected
1224,43,Female,2,9.81998181,250.9808711,1,1,119.8466524,M.Phil,2,Poor,12,East,3,35.63316641,46.11,Rejected
1225,42,Male,1,13.95671399,263.7349029,3,0,108.9754983,M.Phil,1,Average,12,East,3,33.57823077,75.38,Accepted
1226,44,Male,0,19.56824216,246.1338751,3,1,126.2381191,Double graduate,2,Average,8,East,4,55.69005816,48.66,Rejected
1227,37,Female,1,17.75707865,234.9160589,0,0,96.22937257,Double graduate,2,Average,9,North,2,18.23851566,45.47,Accepted
1228,41,Male,1,17.06131744,254.4846021,2,0,109.8311581,Doctorate,1,Very Good,11,East,1,29.86104181,38.62,Rejected
1229,41,Male,3,6.597872312,238.1151036,2,0,105.4010223,M.Phil,3,Very Good,13,East,4,35.20074432,62.39,Rejected
1230,46,Male,3,22.56881604,255.376196,0,0,102.9580576,Graduate,2,Very Good,12,North,3,51.2970057,49.03,Rejected
1231,44,Male,0,6.677572169,253.8740478,3,1,117.5270954,Masters,3,Average,7,North,2,51.95520924,37.44,Rejected
1232,40,Male,2,8.461165335,255.5600279,0,1,110.595281,M.Phil,1,Very Good,6,East,4,43.40250793,37.52,Rejected
1234,46,Male,1,14.20035692,256.8560656,3,0,109.9957467,Double graduate,1,Very Good,10,East,3,46.41088993,60.91,Rejected
1235,39,Male,1,7.083955525,229.0382803,3,2,102.5015342,Graduate,2,Very Good,9,East,4,36.29748759,40.48,Rejected
1237,39,Male,1,8.685452182,276.9904608,0,0,114.6801373,Doctorate,2,Very Good,6,North,3,39.0794718,24.56,Accepted
1238,37,Female,1,6.707682386,228.4512863,2,1,122.9163917,Doctorate,1,Very Good,12,East,2,41.50541042,32.56,Rejected
1239,40,Female,1,6.994390287,245.1126736,1,0,117.2298039,Double graduate,2,Average,8,North,3,22.46948486,32.99,Accepted
1241,48,Male,3,19.57657143,241.3560094,1,1,134.0540894,Masters,2,Very Good,6,East,1,45.70062015,52.07,Rejected
1242,39,Female,3,21.94833231,246.3327762,3,2,112.8125159,Graduate,2,Very Good,9,East,3,49.45834164,50.61,Rejected
1243,46,Female,3,20.95743604,270.6017762,1,1,104.7821505,Graduate,2,Very Good,12,East,3,52.83144234,49.03,Rejected
1244,47,Male,1,12.34969363,250.7041375,1,1,109.2621338,M.Phil,2,Poor,11,East,2,45.46184351,37.67,Rejected
1245,38,Male,3,9.148056099,264.5460629,3,1,114.5894155,Masters,1,Poor,10,North,1,40.33955223,25.13,Rejected
1246,44,Male,3,9.464463341,254.7991695,1,0,120.9263934,Double graduate,2,Average,12,South,2,40.97035421,35.21,Rejected
1247,43,Male,0,16.53811099,254.6603559,0,1,109.0688798,Doctorate,2,Very Good,10,North,4,61.07865711,32.16,Rejected
1249,39,Male,1,14.00691049,232.8961861,3,1,114.5541967,Doctorate,1,Very Good,12,East,1,39.46262613,32.58,Rejected
1251,38,Male,3,10.43917014,250.6664922,3,2,109.3347469,Masters,1,Very Good,10,North,3,43.83593089,42.3,Rejected
1252,45,Male,2,13.81251854,253.2996683,3,1,116.320004,M.Phil,1,Very Good,8,East,1,44.02272453,57,Rejected
1253,38,Male,2,10.20996911,249.7686389,0,1,102.9915912,Doctorate,1,Average,6,West,4,33.85213987,51.21,Rejected
1254,42,Female,3,11.88464018,251.0750443,1,1,110.4319335,Double graduate,1,Average,6,North,2,34.47374664,46.2,Accepted
1255,44,Female,1,15.43087262,265.963025,1,2,125.7100968,Doctorate,2,Very Good,12,East,1,45.2112474,37.33,Rejected
1256,39,Female,0,10.47960955,249.2411159,1,1,105.0297061,Masters,2,Very Good,7,East,1,23.44771318,38.87,Rejected
1257,38,Female,1,19.25188721,241.2430742,0,1,119.4164327,Doctorate,1,Average,12,North,3,29.90811388,41.39,Rejected
1258,48,Male,2,11.62214372,261.6213257,0,1,120.4684301,Double Masters,2,Average,6,East,1,44.87361422,38.66,Rejected
1260,41,Male,1,8.429060868,246.0843509,3,1,114.0927698,Double Masters,2,Average,10,East,2,40.99267397,45.45,Rejected
1261,43,Male,2,16.45718167,256.3405136,2,1,112.8491026,Graduate,1,Average,11,East,3,49.9958664,32.54,Rejected
1263,45,Male,2,18.2135063,255.7277426,0,1,105.4075716,Masters,3,Poor,13,East,3,35.32770037,40.96,Rejected
1265,44,Female,0,10.57020158,252.727839,3,0,104.2611162,Double graduate,1,Average,9,East,2,40.11781624,31.24,Rejected
1266,44,Female,1,15.4501488,236.0608517,1,1,106.7929874,Doctorate,1,Very Good,7,East,4,36.9897674,24.62,Rejected
1268,44,Male,1,14.17454247,249.0835433,3,2,115.3635763,M.Phil,3,Average,6,South,2,56.40625998,48.1,Accepted
1270,43,Male,1,18.16546229,264.2469135,1,1,106.7938373,M.Phil,2,Very Good,8,East,4,21.78112265,32.04,Rejected
1271,40,Male,0,20.21201297,240.2503115,1,1,106.2716266,Masters,1,Very Good,7,South,4,52.99089461,48.33,Rejected
1272,48,Female,1,23.58351942,253.221313,3,1,114.2104649,Double graduate,2,Very Good,8,East,1,60.48827979,66.91,Rejected
1273,42,Female,3,14.86692409,244.3723263,1,0,113.7763923,Graduate,1,Very Good,11,East,4,31.61706459,44.49,Rejected
1275,39,Male,1,6.111593777,251.3809134,0,0,111.5995502,Double graduate,1,Very Good,13,West,4,38.07801491,21.78,Rejected
1276,39,Female,1,17.69691912,258.1139429,3,2,118.0888517,Masters,2,Very Good,11,North,3,36.5938691,45.06,Rejected
1277,48,Male,1,15.90594144,256.4993692,0,1,109.6114459,Graduate,3,Very Good,9,East,3,42.38451286,50.94,Rejected
1279,39,Male,1,17.08254593,246.3603849,3,2,101.6940732,Double graduate,1,Average,12,West,4,38.91813255,38.78,Rejected
1280,41,Male,1,18.66303432,264.7314043,2,0,117.5056476,Double Masters,1,Average,10,East,3,35.43823758,39.66,Rejected
1281,38,Female,1,12.23018434,238.7108802,3,1,105.6619985,Doctorate,1,Very Good,6,East,3,35.59236517,55.38,Rejected
1282,44,Male,1,11.15737497,247.6411034,0,1,121.7553578,Masters,1,Very Good,10,North,2,50.24556918,45.02,Rejected
1283,47,Male,3,20.70793237,245.8774328,3,1,109.77497,Double graduate,2,Average,13,East,4,43.07315743,23.86,Rejected
1286,45,Male,1,9.29820171,248.8731514,1,0,111.6685198,Double graduate,1,Very Good,13,West,2,53.54651308,47.1,Rejected
1287,37,Male,2,13.11834919,252.7272234,3,0,107.189326,Masters,2,Poor,9,East,4,27.81566062,49.56,Rejected
1288,46,Male,0,14.27027829,238.7449993,3,2,105.5322098,Double graduate,3,Very Good,11,East,2,33.50804339,41.03,Rejected
1289,40,Male,3,13.29732473,254.3781123,3,1,113.9547333,Masters,1,Poor,13,West,4,32.84803272,38.88,Rejected
1290,46,Male,3,9.902037505,251.5341279,1,1,109.5779347,Masters,2,Very Good,8,North,4,53.34908025,28.24,Rejected
1291,39,Male,3,7.618665199,251.3626599,3,0,116.4677157,Graduate,3,Poor,7,North,1,48.2423137,36.73,Accepted
1293,45,Male,3,5.604866056,239.1789849,1,0,109.8183955,Doctorate,1,Very Good,9,East,4,45.58225103,61.59,Rejected
1296,48,Male,1,9.118780976,245.8107605,1,1,112.8406526,Double graduate,2,Average,11,North,3,30.3621296,31.84,Rejected
1297,48,Male,2,11.11912766,257.7668591,3,1,107.0230759,Double Masters,3,Poor,7,North,1,43.07601226,20.01,Rejected
1298,38,Male,1,18.17392987,232.586456,3,1,110.0879977,Masters,1,Average,7,East,3,46.92209986,49.47,Rejected
1299,43,Female,1,21.12863702,239.6845048,0,1,116.7694022,M.Phil,3,Average,9,West,3,34.95046096,21.51,Accepted
1300,47,Female,0,18.22555635,250.7517275,3,0,101.7451099,Graduate,2,Very Good,13,East,4,43.22600735,18.28,Rejected
1301,45,Female,1,17.35726419,247.7429459,2,1,103.6105775,Masters,1,Poor,12,East,1,43.24692739,38.08,Rejected
1302,43,Female,1,11.86171469,258.374589,1,0,111.9361661,Double graduate,1,Poor,10,East,4,44.65562969,39.18,Rejected
1304,43,Male,1,13.81009928,230.8790732,0,1,116.5228078,M.Phil,2,Average,12,North,3,39.84631558,45.38,Rejected
1305,37,Female,3,20.09361148,250.0831307,0,1,109.3038171,Masters,2,Poor,13,North,4,44.94595024,65.07,Rejected
1306,48,Male,2,10.56037858,264.8784073,3,1,115.1910739,Double graduate,1,Very Good,12,North,3,46.64510213,50.91,Rejected
1307,40,Female,1,15.58386627,252.4754728,2,1,116.5669099,Doctorate,2,Very Good,7,North,3,35.3132451,36.93,Rejected
1308,38,Male,3,20.50618136,254.9061838,3,2,121.4002665,Double Masters,3,Average,10,East,1,34.07584997,55.29,Rejected
1309,42,Male,2,16.92449063,273.1526496,3,1,114.8157456,Masters,3,Poor,11,West,3,42.32660953,62.48,Accepted
1310,47,Male,3,11.89199605,252.611518,3,1,119.0845193,Doctorate,1,Average,10,East,3,38.79611489,35.38,Rejected
1311,41,Male,1,13.29358473,270.7555652,3,2,105.2488824,Masters,3,Very Good,9,East,4,38.34966842,39.13,Accepted
1313,47,Male,2,13.02360977,228.6323305,2,1,107.0724503,Doctorate,1,Average,8,North,3,54.05342191,39.55,Rejected
1314,46,Male,3,9.034761447,248.8492271,3,1,101.7057879,Double graduate,1,Average,12,East,3,24.00362049,46.23,Accepted
1315,38,Male,1,16.22785427,239.9127218,2,2,119.1173075,Double graduate,1,Very Good,12,South,2,41.43308741,13.63,Rejected
1316,45,Male,2,17.63114838,237.092976,2,2,107.949596,Double Masters,1,Very Good,11,East,3,69.28789498,54.65,Rejected
1317,45,Male,1,9.53592121,259.4805295,1,0,104.1275422,Double Masters,1,Average,12,East,3,25.50326199,33,Rejected
1318,47,Male,2,7.453245358,250.4961891,1,1,123.5294487,Double graduate,2,Very Good,7,North,2,31.75579938,38.43,Rejected
1320,41,Male,1,5.894289166,240.1651605,3,0,111.3723038,Double Masters,1,Very Good,7,North,1,44.61896764,30.93,Rejected
1321,45,Male,1,12.44311057,240.2557664,2,0,99.77944766,Double graduate,3,Very Good,12,North,4,57.27122697,53.25,Rejected
1323,37,Male,1,6.841038958,246.7203269,0,1,114.4030418,Graduate,2,Average,7,East,1,33.25080016,56.41,Rejected
1324,45,Male,1,7.059188329,254.3748454,3,1,111.0856454,Double Masters,1,Average,10,East,3,53.67467558,71.5,Rejected
1325,37,Male,0,7.468181637,251.1269431,1,2,114.0959126,M.Phil,2,Average,10,West,4,38.21149276,39.8,Accepted
1326,42,Male,1,9.115937035,250.1594229,1,1,122.9474568,Double Masters,3,Average,11,North,3,57.54742554,29.3,Rejected
1327,37,Male,2,21.45455275,244.3246721,1,1,109.2150856,Graduate,2,Poor,11,North,1,30.49488494,39.74,Rejected
1328,48,Female,1,4.416000148,252.0452884,3,0,113.4549562,Double Masters,3,Average,8,North,4,41.83627546,57.09,Rejected
1329,48,Female,3,22.36674884,247.7631817,3,1,113.3658952,Double graduate,2,Average,7,East,1,54.53992404,34.46,Rejected
1330,40,Male,1,19.05548513,235.2445368,0,1,110.1193247,Masters,2,Average,10,East,1,33.47714731,30.42,Accepted
1331,43,Female,2,19.36721951,249.8266883,1,1,124.2612485,Graduate,1,Very Good,12,East,1,37.78422508,45.75,Rejected
1332,43,Male,1,19.01717286,251.0258988,2,1,128.0602843,M.Phil,2,Average,6,North,4,30.02246621,59.85,Rejected
1333,47,Male,1,15.87290413,254.3870357,3,1,102.8746658,Double graduate,2,Average,10,North,2,38.83027497,44.91,Rejected
1334,48,Male,3,9.917907019,258.523862,3,1,117.0356843,Graduate,2,Very Good,13,North,3,36.39477256,39.54,Rejected
1335,37,Female,0,19.99483308,239.9319618,3,1,109.9086067,Doctorate,2,Average,9,East,2,53.5955624,29.32,Rejected
1337,42,Female,1,11.70394524,246.7460502,1,0,103.2795984,Masters,1,Very Good,13,East,4,57.30477941,37.62,Rejected
1338,45,Female,1,18.52845599,236.4056754,2,1,114.7350268,Double graduate,2,Very Good,7,West,3,29.56757424,50.68,Rejected
1339,40,Male,1,20.11563601,240.757267,3,1,121.1655296,Doctorate,1,Average,11,East,3,46.54031319,57.2,Rejected
1340,37,Male,1,8.751937966,247.0707651,2,0,104.8553752,Doctorate,1,Very Good,7,West,3,45.3975396,36.85,Rejected
1341,43,Male,1,13.23619693,239.2640071,3,0,97.65839941,Double graduate,1,Average,6,East,3,48.8994598,24.33,Rejected
1342,41,Male,3,8.747184297,238.5711127,1,0,116.4299545,Graduate,1,Poor,10,East,3,45.05286496,24.72,Rejected
1343,37,Female,3,9.176675804,251.548323,1,2,114.0947345,Doctorate,1,Average,9,East,4,21.13202003,45.88,Accepted
1344,37,Female,1,17.64302026,237.7894381,0,2,111.8332212,M.Phil,1,Very Good,6,North,2,32.07410198,28.83,Rejected
1346,38,Male,2,21.01229431,253.9977941,1,1,115.3622719,Double Masters,2,Average,10,North,2,27.80884196,28.09,Rejected
1347,37,Male,3,20.48888529,252.2964862,0,1,102.0268666,Double graduate,2,Average,13,North,3,40.12899714,35.06,Rejected
1348,39,Female,1,16.15578583,246.984882,3,1,98.1034599,Doctorate,2,Very Good,8,West,3,42.32234522,36.46,Rejected
1349,41,Male,3,17.97292512,230.7857316,3,1,109.8880905,Double graduate,1,Very Good,11,North,3,40.86036422,46.83,Rejected
1350,46,Male,2,21.80222232,238.9250118,3,0,114.4993622,M.Phil,2,Very Good,9,North,3,45.43992093,31.59,Rejected
1351,39,Female,1,22.01089183,250.9829427,1,2,107.9513858,M.Phil,1,Average,7,North,1,54.97534432,38.01,Rejected
1352,43,Male,1,9.871739564,240.4165606,1,0,106.4551702,Double graduate,2,Average,11,South,4,59.45626122,28.89,Rejected
1353,37,Male,2,19.78707093,254.6224755,1,0,102.3059196,Doctorate,1,Very Good,13,East,1,51.83167771,59.02,Rejected
1354,37,Female,3,11.67229686,250.6749948,3,1,112.6918038,Double graduate,2,Very Good,9,North,4,47.70273917,40.73,Rejected
1355,38,Male,3,8.923857555,237.2604189,3,0,105.8050174,Graduate,2,Average,7,East,2,19.62242797,29.49,Rejected
1356,45,Male,3,13.49464146,230.76414,1,1,104.6668774,Doctorate,3,Very Good,13,South,4,31.50803577,32.52,Rejected
1357,40,Female,3,15.71443868,265.0401718,3,0,123.6145203,Doctorate,1,Very Good,13,North,2,37.82545516,49.93,Rejected
1358,45,Male,3,7.933733654,249.223177,1,0,108.3246455,Double graduate,2,Very Good,6,North,1,31.93955798,27.4,Accepted
1359,37,Male,3,18.08027686,254.0375374,0,1,106.4443376,Double graduate,1,Average,9,West,1,44.54903244,30.6,Rejected
1360,42,Male,1,8.728994046,233.9400416,2,1,113.2132133,Masters,2,Very Good,11,East,1,60.73040273,18.05,Rejected
1361,38,Female,2,18.69361463,249.7459255,1,0,108.5147598,Doctorate,1,Very Good,11,East,4,27.06275109,23.98,Rejected
1362,40,Male,1,19.49260762,244.9226234,0,0,108.4608786,Graduate,1,Poor,12,East,1,57.49079422,37.45,Rejected
1364,48,Male,3,17.02368845,248.4044065,3,1,111.4857769,M.Phil,1,Average,10,East,3,30.18596263,51.79,Rejected
1365,44,Female,3,8.17363595,260.8951148,2,1,110.8710408,Masters,1,Poor,9,East,4,43.00392434,19.9,Rejected
1366,47,Female,1,14.05471532,233.1414294,3,0,108.2107843,Double graduate,2,Very Good,10,East,3,34.3165516,20.89,Rejected
1367,46,Male,1,10.02710927,239.9624634,2,1,115.4013618,Double graduate,1,Very Good,10,East,2,38.76122911,46.6,Accepted
1368,38,Female,1,10.04195832,248.4996451,3,2,107.8042059,Masters,1,Poor,8,North,4,54.41964176,48.34,Rejected
1369,45,Male,3,15.86953711,238.8189801,1,2,122.3662187,Doctorate,1,Average,7,East,3,32.20358496,41.31,Rejected
1370,40,Male,3,16.08935323,253.7703181,1,1,109.415671,Graduate,1,Very Good,7,East,1,44.53788171,28.66,Rejected
1371,46,Male,1,13.66311649,241.6611406,1,2,115.2509624,Masters,1,Average,12,East,4,34.80221386,53.28,Rejected
1372,39,Female,3,20.16517441,248.5732062,0,1,114.9964091,Masters,2,Very Good,8,East,4,41.75134984,54.49,Rejected
1373,45,Female,1,16.05956057,245.5677872,3,2,101.0165049,Masters,1,Very Good,8,North,2,33.13283862,38.03,Accepted
1376,46,Male,1,10.43169153,277.392743,1,1,113.2584239,Double Masters,2,Very Good,7,North,1,59.4181758,48.14,Rejected
1377,38,Male,0,16.72173275,252.3052302,1,0,102.1375304,M.Phil,1,Average,9,North,2,44.75768623,52.55,Rejected
1378,39,Male,2,19.17917485,267.6633372,1,0,111.3151317,Double graduate,1,Average,13,East,3,40.94081525,54.86,Rejected
1379,40,Female,1,23.66860831,240.596369,1,2,103.5463939,Graduate,1,Average,11,East,3,34.48541356,47.46,Rejected
1380,43,Male,0,14.6444256,254.8072003,1,2,116.550742,Graduate,1,Very Good,11,East,4,53.60606428,40.75,Rejected
1381,38,Female,0,5.464825411,232.3508561,0,0,101.012388,Double Masters,1,Poor,6,East,2,33.07351195,31.56,Accepted
1382,48,Male,1,17.32656923,245.889977,1,1,111.3618164,Double Masters,1,Very Good,13,East,4,58.64473794,21.67,Rejected
1383,41,Female,1,10.47708121,262.1512283,1,1,126.0405114,Double graduate,1,Very Good,10,East,2,40.33399761,25.33,Accepted
1384,38,Male,1,20.22918028,252.7920029,0,1,106.8557743,Double graduate,1,Very Good,8,East,4,38.52859894,38.7,Rejected
1385,45,Male,3,18.78167767,245.1224556,3,1,116.3608474,Masters,2,Very Good,12,North,2,50.73276939,56.47,Rejected
1387,45,Male,2,8.96767335,253.652396,0,0,117.6535678,Masters,3,Poor,9,East,3,46.42588381,20.66,Rejected
1388,37,Male,2,17.57337195,235.0701153,3,1,113.7833474,M.Phil,2,Average,13,North,2,38.93267525,19.3,Accepted
1389,45,Male,1,13.20665419,237.6264935,1,1,109.3553373,Double graduate,2,Very Good,6,East,3,56.46514288,45.06,Rejected
1391,40,Male,1,22.99599162,251.2774238,3,1,117.3996644,Masters,1,Average,9,North,4,52.28556271,37.13,Rejected
1392,41,Male,2,9.567358471,252.8311278,1,1,113.3071712,Graduate,3,Very Good,12,West,3,39.3173495,30.96,Rejected
1393,38,Male,3,21.87142167,254.0597246,2,0,120.1531872,Double graduate,1,Very Good,12,East,2,52.95486141,46.29,Rejected
1395,42,Male,3,9.365359033,235.4139823,3,2,122.3912613,M.Phil,2,Very Good,9,North,2,41.21798629,49.88,Rejected
1396,38,Female,1,17.11574779,249.453278,2,1,99.30215583,Doctorate,2,Very Good,13,South,2,29.85071355,51.21,Rejected
1397,44,Male,3,15.26846091,262.7640984,1,0,111.0379238,Doctorate,1,Very Good,6,East,4,52.58669227,51.25,Rejected
1398,44,Female,1,21.65090526,241.5150835,2,0,111.8430227,Double Masters,2,Average,11,East,4,44.79267014,53.09,Rejected
